id,title,creator,source,media_type,quality_grade,access_status,topics,url
PA-0001,16×16 Pixel Art Tutorial,ilkkke,Lospec catalog / original article,article,B,full-text,调色板与明度 | 光照与体积 | 轮廓与像素簇 | 人物与角色,http://www.photonstorm.com/art/tutorials-art/16x16-pixel-art-tutorial
PA-0002,A Basic Sprite Tutorial,Kiwi,Lospec catalog / original article,article,B,full-text,工具与导出 | 光照与体积 | 调色板与明度 | 人物与角色,https://2dwillneverdie.com/tutorial/a-basic-sprite-tutorial/
PA-0003,Ambient Lighting: Portrait,st0ven,Lospec catalog / original article,article,B,full-text,光照与体积 | 人物与角色 | 调色板与明度 | 轮廓与像素簇,http://web.archive.org/web/20070202185612/http://spriteart.com:80/tutorials/02_ambient_face.html
PA-0004,Ambient Lighting: Sphere,st0ven,Lospec catalog / original article,article,B,full-text,光照与体积 | 轮廓与像素簇 | 调色板与明度 | 人物与角色,http://web.archive.org/web/20070202185717/http://spriteart.com:80/tutorials/02_ambient_sphere.html
PA-0005,Anti-Aliasing,st0ven,Lospec catalog / original article,article,B,full-text,调色板与明度 | 场景与透视 | 光照与体积 | 轮廓与像素簇,http://web.archive.org/web/20070401222429/http://www.spriteart.com:80/tutorials/01_AA.html
PA-0006,Background Art (introduction),st0ven,Lospec catalog / original article,article,B,full-text,调色板与明度 | 场景与透视 | 构图与尺度 | 人物与角色,https://web.archive.org/web/20140702161407/http://steve.neonstar.net/mini_background1.htm
PA-0007,Background Art (introduction) 2,st0ven,Lospec catalog / original article,article,B,full-text,场景与透视 | 调色板与明度 | 光照与体积 | 工具与导出,https://web.archive.org/web/20120705043521/http://steve.neonstar.net:80/mini_background2.htm
PA-0008,Background Art (introduction) 3,st0ven,Lospec catalog / original article,article,B,full-text,场景与透视 | 光照与体积 | 调色板与明度 | 抗锯齿与抖动,https://web.archive.org/web/20120502132848/http://steve.neonstar.net/mini_background3.htm
PA-0009,Basics of Animation,Jason Perry,Lospec catalog / original article,article,B,full-text,动画 | 人物与角色 | 光照与体积,http://finalbossblues.com/basics-of-animation/
PA-0010,Building on a Sprite Base,Jason Perry,Lospec catalog / original article,article,B,full-text,人物与角色 | 光照与体积 | 场景与透视 | 动画,http://finalbossblues.com/building-on-a-sprite-base/
PA-0011,Chibi Sprites (super deformed),st0ven,Lospec catalog / original article,article,B,full-text,人物与角色 | 光照与体积 | 调色板与明度 | 场景与透视,http://web.archive.org/web/20070419044820/http://www.spriteart.com:80/tutorials/03_fighter_chibi.html
PA-0012,Creating an RPG Base,Jason Perry,Lospec catalog / original article,article,B,full-text,人物与角色 | 光照与体积 | 调色板与明度 | 场景与透视,http://finalbossblues.com/creating-an-rpg-base/
PA-0013,Dithering,st0ven,Lospec catalog / original article,article,B,full-text,调色板与明度 | 材质与纹理 | 场景与透视,http://web.archive.org/web/20070401222913/http://www.spriteart.com:80/tutorials/01_dither.html
